ID,City,Lattitude,Longitude,Temperature (F),Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
2112802,Hasaki,35.7333,140.8333,31.69,35.6,55,20,6.91,JP,1612475398
779622,Havøysund,70.9963,24.6622,30.2,30.2,86,75,16.11,NO,1612475399
1282256,Hithadhoo,-0.6,73.0833,82.29,82.29,75,85,10.49,MV,1612475243
4034551,Faanui,-16.4833,-151.75,81.32,81.32,68,41,6.17,PF,1612475401
2137773,Vao,-22.6667,167.4833,78.73,78.73,86,46,19.82,NC,1612475403
160677,Chake Chake,-5.2459,39.7666,76.89,76.89,86,1,6.87,TZ,1612475404
546105,Nikolskoye,59.7035,30.7861,7.61,10.0,85,75,6.71,RU,1612475405
3374210,São Filipe,14.8961,-24.4956,72.07,72.07,78,87,8.86,CV,1612475408
5367788,Lompoc,34.6391,-120.4579,62.02,66.0,48,1,11.5,US,1612475409
934322,Mahébourg,-20.4081,57.7,78.8,78.8,78,40,10.36,MU,1612475410
4020109,Atuona,-9.8,-139.0333,78.73,78.73,71,30,11.81,PF,1612475244
2012530,Zhigansk,66.7697,123.3711,-43.15,-43.15,75,0,12.86,RU,1612475412
290030,Doha,25.2867,51.5333,65.48,66.2,94,0,4.32,QA,1612475397
3366880,Hermanus,-34.4187,19.2345,66.99,66.99,78,36,10.07,ZA,1612475414
1491055,Stantsionno-Oyashinskiy,55.4664,83.8245,-0.17,-0.17,93,99,7.74,RU,1612475416
5954718,Flin Flon,54.7682,-101.865,-2.2,-2.2,71,90,11.5,CA,1612475417
964432,Port Alfred,-33.5906,26.891,66.99,66.99,86,18,3.0,ZA,1612475418
2022083,Alekseyevsk,57.8406,108.3492,-1.53,-1.53,91,100,1.41,RU,1612475419
2120400,Tungor,53.3808,142.9564,-12.87,-12.87,87,100,18.92,RU,1612475420
1651810,Airai,-8.9266,125.4092,61.29,61.29,100,100,3.27,TL,1612475421
6201424,Mataura,-46.1927,168.8643,60.8,60.8,55,34,3.58,NZ,1612475423
2180815,Tuatapere,-46.1333,167.6833,63.34,63.34,57,74,3.0,NZ,1612475241
3831208,Qaanaaq,77.484,-69.3632,-20.54,-20.54,61,65,8.14,GL,1612475425
1493162,Salym,60.0625,71.4789,5.05,5.05,94,100,3.42,RU,1612475426
3336897,La Rioja,42.25,-2.5,48.2,48.2,93,0,8.05,ES,1612475344
3833367,Ushuaia,-54.8,-68.3,53.6,53.6,71,20,37.98,AR,1612475245
2264557,Ponta do Sol,32.6667,-17.1,46.56,48.99,68,97,8.01,PT,1612475429
5866583,Saint Paul Harbor,57.79,-152.4072,26.6,26.6,74,1,3.44,US,1612475280
3652764,Puerto Ayora,-0.7393,-90.3518,82.18,84.2,70,0,8.05,EC,1612475431
2155415,New Norfolk,-42.7826,147.0587,68.29,69.01,57,88,1.01,AU,1612475432
935215,Saint-Philippe,-21.3585,55.7679,76.87,78.8,73,50,5.75,RE,1612475434
3633341,Maiquetia,10.5962,-66.9548,84.2,84.2,74,40,8.39,VE,1612475436
2208248,Kaitangata,-46.2817,169.8464,57.0,57.0,66,34,11.01,NZ,1612475241
5106841,Albany,42.6001,-73.9662,35.15,37.4,52,20,6.91,US,1612475399
2112309,Katsuura,35.1333,140.3,40.8,41.0,48,20,18.41,JP,1612475439
3372707,Ribeira Grande,38.5167,-28.7,55.4,55.4,62,40,3.44,PT,1612475440
5746545,Portland,45.5234,-122.6762,43.47,45.0,81,90,8.05,US,1612475431
1507390,Dikson,73.5069,80.5464,-6.14,-6.14,91,100,11.65,RU,1612475248
2110227,Butaritari,3.0707,172.7902,80.11,80.11,83,100,14.7,KI,1612475446
2654970,Brae,60.3964,-1.353,35.6,35.6,55,20,13.8,GB,1612475447
5855927,Hilo,19.7297,-155.09,70.45,75.2,73,90,14.97,US,1612475240
3402648,Carutapera,-1.195,-46.02,80.22,80.22,79,59,7.61,BR,1612475449
2396853,Omboué,-1.5746,9.2618,78.64,78.64,88,100,4.61,GA,1612475261
2446796,Bilma,18.6853,12.9164,63.21,63.21,29,0,6.87,NE,1612475451
3369157,Cape Town,-33.9258,18.4232,68.86,70.0,68,0,11.5,ZA,1612475452
2075265,Busselton,-33.65,115.3333,48.99,48.99,85,20,12.84,AU,1612475453
2176632,Bathurst,-33.4166,149.5806,69.01,69.01,79,71,1.01,AU,1612475455
1015776,Bredasdorp,-34.5322,20.0403,68.0,68.0,77,98,5.75,ZA,1612475227
1855612,Nara,34.6851,135.8049,33.39,36.0,80,20,2.3,JP,1612475321
4032243,Vaini,-21.2,-175.2,80.6,80.6,94,75,6.91,TO,1612475458
5713587,Bend,44.0582,-121.3153,44.8,46.4,42,20,6.91,US,1612475233
